date,index,category
1980-07-01,104.44,House Price Index
1980-10-01,104.59,House Price Index
1981-01-01,105.2,House Price Index
1981-04-01,107.43,House Price Index
1981-07-01,108.83,House Price Index
1981-10-01,107.48,House Price Index
1982-01-01,106.18,House Price Index
1982-04-01,108.82,House Price Index
1982-07-01,107.04,House Price Index
1982-10-01,111.69,House Price Index
1983-01-01,114.41,House Price Index
1983-04-01,115.93,House Price Index
1983-07-01,116.95,House Price Index
1983-10-01,117.64,House Price Index
1984-01-01,119.43,House Price Index
1984-04-01,121.03,House Price Index
1984-07-01,122.17,House Price Index
1984-10-01,123.15,House Price Index
1985-01-01,124.89,House Price Index
1985-04-01,126.78,House Price Index
1985-07-01,128.75,House Price Index
1985-10-01,130.18,House Price Index
1986-01-01,132.71,House Price Index
1986-04-01,135.49,House Price Index
1986-07-01,137.55,House Price Index
1986-10-01,139.68,House Price Index
1987-01-01,142.46,House Price Index
1987-04-01,144.67,House Price Index
1987-07-01,146.34,House Price Index
1987-10-01,147.3,House Price Index
1988-01-01,149.58,House Price Index
1988-04-01,152.58,House Price Index
1988-07-01,154.16,House Price Index
1988-10-01,155.57,House Price Index
1989-01-01,157.39,House Price Index
1989-04-01,159.55,House Price Index
1989-07-01,162.96,House Price Index
1989-10-01,164.3,House Price Index
1990-01-01,165.24,House Price Index
1990-04-01,165.92,House Price Index
1990-07-01,166.95,House Price Index
1990-10-01,166.3,House Price Index
1991-01-01,167.67,House Price Index
1991-04-01,168.79,House Price Index
1991-07-01,169.12,House Price Index
1991-10-01,171.49,House Price Index
1992-01-01,172.81,House Price Index
1992-04-01,172.77,House Price Index
1992-07-01,174.74,House Price Index
1992-10-01,175.61,House Price Index
1993-01-01,175.69,House Price Index
1993-04-01,177.37,House Price Index
1993-07-01,178.81,House Price Index
1993-10-01,180.28,House Price Index
1994-01-01,181.41,House Price Index
1994-04-01,182.49,House Price Index
1994-07-01,183.25,House Price Index
1994-10-01,183.1,House Price Index
1995-01-01,184.05,House Price Index
1995-04-01,187.08,House Price Index
1995-07-01,189.96,House Price Index
1995-10-01,191.43,House Price Index
1996-01-01,193.57,House Price Index
1996-04-01,193.88,House Price Index
1996-07-01,194.75,House Price Index
1996-10-01,196.27,House Price Index
1997-01-01,197.9,House Price Index
1997-04-01,199.53,House Price Index
1997-07-01,202.24,House Price Index
1997-10-01,204.88,House Price Index
1998-01-01,207.94,House Price Index
1998-04-01,209.8,House Price Index
1998-07-01,212.75,House Price Index
1998-10-01,215.26,House Price Index
1999-01-01,217.52,House Price Index
1999-04-01,220.42,House Price Index
1999-07-01,223.55,House Price Index
1999-10-01,225.85,House Price Index
2000-01-01,230.18,House Price Index
2000-04-01,233.93,House Price Index
2000-07-01,238.19,House Price Index
2000-10-01,241.84,House Price Index
2001-01-01,247.82,House Price Index
2001-04-01,251.98,House Price Index
2001-07-01,255.89,House Price Index
2001-10-01,259.05,House Price Index
2002-01-01,262.77,House Price Index
2002-04-01,267.25,House Price Index
2002-07-01,272.55,House Price Index
2002-10-01,276.42,House Price Index
2003-01-01,279.79,House Price Index
2003-04-01,283.21,House Price Index
2003-07-01,287.57,House Price Index
2003-10-01,295.72,House Price Index
2004-01-01,300.37,House Price Index
2004-04-01,307.7,House Price Index
2004-07-01,319.42,House Price Index
2004-10-01,326.26,House Price Index
2005-01-01,333.74,House Price Index
2005-04-01,344.43,House Price Index
2005-07-01,354.9,House Price Index
2005-10-01,362.94,House Price Index
2006-01-01,368.7,House Price Index
2006-04-01,372.47,House Price Index
2006-07-01,375.54,House Price Index
2006-10-01,379.38,House Price Index
2007-01-01,380.79,House Price Index
2007-04-01,380.55,House Price Index
2007-07-01,376.29,House Price Index
2007-10-01,375.09,House Price Index
2008-01-01,372.34,House Price Index
2008-04-01,362.94,House Price Index
2008-07-01,351.51,House Price Index
2008-10-01,348.27,House Price Index
2009-01-01,350.85,House Price Index
2009-04-01,341.65,House Price Index
2009-07-01,332.73,House Price Index
2009-10-01,330.2,House Price Index
2010-01-01,326.26,House Price Index
2010-04-01,323.3,House Price Index
2010-07-01,326.45,House Price Index
2010-10-01,324.13,House Price Index
2011-01-01,315.13,House Price Index
2011-04-01,309.6,House Price Index
2011-07-01,311.91,House Price Index
2011-10-01,313.34,House Price Index
2012-01-01,310.06,House Price Index
2012-04-01,308.66,House Price Index
2012-07-01,312.77,House Price Index
2012-10-01,315.22,House Price Index
2013-01-01,316.79,House Price Index
2013-04-01,321.63,House Price Index
2013-07-01,326.28,House Price Index
2013-10-01,328.89,House Price Index
2014-01-01,331.62,House Price Index
2014-04-01,338.04,House Price Index
2014-07-01,342.94,House Price Index
2014-10-01,345.71,House Price Index
2015-01-01,349.53,House Price Index
2015-04-01,355.21,House Price Index
2015-07-01,360.25,House Price Index
2015-10-01,363.17,House Price Index
2016-01-01,366.52,House Price Index
2016-04-01,373.39,House Price Index
2016-07-01,380.03,House Price Index
2016-10-01,383,House Price Index
2017-01-01,385.81,House Price Index
2017-04-01,394.45,House Price Index
2017-07-01,400.53,House Price Index
2017-10-01,403.87,House Price Index
2018-01-01,409.56,House Price Index
2018-04-01,417.12,House Price Index
2018-07-01,422.2,House Price Index
2018-10-01,423.66,House Price Index
2019-01-01,428.39,House Price Index
2019-04-01,435.51,House Price Index
2019-07-01,441.05,House Price Index
2019-10-01,444.99,House Price Index
2020-01-01,450.13,House Price Index
2020-04-01,454.6,House Price Index
2020-07-01,462.51,House Price Index
2020-10-01,472.69,House Price Index
2021-01-01,484.05,House Price Index
2021-04-01,511.01,House Price Index
2021-07-01,539.48,House Price Index
2021-10-01,558.11,House Price Index
2022-01-01,578.7,House Price Index
2022-04-01,618.37,House Price Index
2022-07-01,628.88,House Price Index
